id,contestTitle,shortDescription,longDescription,contestAward,contestLocation,contestCategory,contestLink,contestHost,registrationDate,deliveryDate,restrictedLocation,minimumAge,maximumAge,maximalParticipation,participationCost,attendingSchool,mainImageUrl,detailImageUrl,IsFavourite
1,Mathematik-Olympiade 2025,Bundesweiter Mathematik-Wettbewerb mit mehreren Runden.,Die Mathematik-Olympiade bietet Aufgaben für Schüler*innen in Deutschland. Die Bundesrunde 2025 findet in Göttingen statt.,Medaille & Zertifikate,"Göttingen, Niedersachsen",Mathematik,https://mo2025.de/,Mathematik-Olympiade Deutschland,2025-01-01,2025-04-01,Niedersachsen,8,20,1,0,true,https://mo2025.de/images/olympiade1.jpg,https://mo2025.de/images/olympiade2.jpg,false
2,Känguru-Wettbewerb 2025,Internationaler Wettbewerb für Schüler*innen.,Ein Mathematik-Wettbewerb mit kniffligen Aufgaben für verschiedene Klassenstufen.,Urkunden & kleine Preise,Deutschlandweit,Mathematik,https://www.mathe-kaenguru.de/,Känguru Mathematik Deutschland,2025-03-01,2025-03-20,keine,6,18,1,0,true,https://www.mathe-kaenguru.de/images/kaenguru1.jpg,https://www.mathe-kaenguru.de/images/kaenguru2.jpg,false
3,Bundeswettbewerb Mathematik 2025,Herausfordernde Aufgaben für Mathematik-Talente.,"Aufgaben an der Grenze zwischen Schule und Hochschule, die analytisches Denken fördern.",Preisgelder bis 5.000 €,Deutschlandweit,Mathematik,https://www.mathematik.de/wettbewerbe,Bundeswettbewerb Mathematik,2025-02-01,2025-06-30,keine,8,20,1,0,true,https://www.mathematik.de/images/bund1.jpg,https://www.mathematik.de/images/bund2.jpg,false
4,Mathematik-Adventskalender 2025,Tägliche Mathe-Aufgaben zur Adventszeit.,"Ein Adventskalender mit täglichen Mathematik-Aufgaben, die Spaß und Logik verbinden.",Sachpreise,Online,Mathematik,https://www.mathematik.de/wettbewerbe,Mathematik.de,2025-12-01,2025-12-24,keine,6,99,1,0,false,https://www.mathematik.de/images/advent1.jpg,https://www.mathematik.de/images/advent2.jpg,false
5,macht mathe 2025,Praktische Mathematik im Alltag.,"Teams lösen mathematische Probleme, die im Alltag Anwendung finden.",Urkunden & kleine Preise,Deutschlandweit,Mathematik,https://machtmathe.de/,macht mathe,2025-03-01,2025-04-30,keine,8,18,1,0,true,https://machtmathe.de/images/machtmathe1.jpg,https://machtmathe.de/images/machtmathe2.jpg,false
6,Mathe ohne Grenzen 2025,Internationaler Wettbewerb für Schulklassen.,"Ein Team-Wettbewerb, bei dem Klassen gemeinsam mathematische Probleme lösen.",Urkunden & Trophäen,International,Mathematik,https://www.mathematik-ohne-grenzen.de/,Mathe ohne Grenzen e.V.,2025-01-15,2025-03-15,keine,10,18,30,0,true,https://www.mathematik-ohne-grenzen.de/images/mathe1.jpg,https://www.mathematik-ohne-grenzen.de/images/mathe2.jpg,false
7,Pangea Mathematikwettbewerb 2025,Mathe-Wettbewerb für Schüler*innen mit Leidenschaft für Logik.,"Ein Wettbewerb, der mathematisch-logisches Denken fördert und Schüler*innen aller Klassenstufen anspricht.",Sachpreise & Zertifikate,Deutschlandweit,Mathematik,https://www.pangea-wettbewerb.de/,Pangea e.V.,2025-02-01,2025-04-01,keine,8,19,1,0,true,https://www.pangea-wettbewerb.de/images/pangea1.jpg,https://www.pangea-wettbewerb.de/images/pangea2.jpg,false
8,International Mathematical Olympiad (IMO) 2025,Weltweit höchst angesehener Mathematik-Wettbewerb für Schüler*innen.,Die IMO fördert mathematisches Talent und bietet eine Plattform zum internationalen Austausch.,Medaille & Anerkennung,International,Mathematik,https://www.imo-official.org/,International Mathematical Union,2025-07-01,2025-07-15,keine,14,20,1,0,true,https://www.imo-official.org/images/imo1.jpg,https://www.imo-official.org/images/imo2.jpg,false
9,Mathematik-Weltcup 2025,Wettbewerb mit verschiedenen mathematischen Disziplinen.,"Ein globaler Wettbewerb, bei dem Teams mathematische Herausforderungen meistern.",Preisgelder & Auszeichnungen,Global,Mathematik,https://www.mathworldcup.com/,Mathematics World Cup,2025-05-01,2025-06-30,keine,18,99,1,50,false,https://www.mathworldcup.com/images/worldcup1.jpg,https://www.mathworldcup.com/images/worldcup2.jpg,false
10,Euler-Wettbewerb 2025,Mathematisches Denken und Kreativität fördern.,"Aufgaben, die auf den Erkenntnissen von Leonhard Euler basieren und mathematische Kreativität fördern.",Sachpreise & Anerkennung,Deutschlandweit,Mathematik,https://www.eulercontest.de/,Euler-Wettbewerb Deutschland,2025-08-01,2025-09-30,keine,10,20,1,0,true,https://www.eulercontest.de/images/euler1.jpg,https://www.eulercontest.de/images/euler2.jpg,false
11,Mitteleuropäische Mathematikolympiade 2025,Internationaler Mathematik-Wettbewerb in Chemnitz.,"Ein hochkarätiger Wettbewerb mit Schüler*innen aus Mitteleuropa, wird 2025 in Chemnitz ausgetragen.",Medaille & internationale Anerkennung,"Chemnitz, Sachsen",Mathematik,https://chemnitz2025.de/veranstaltung/termin/19-mitteleuropaeische-mathematikolympiade/,Chemnitz 2025,2025-01-01,2025-07-01,Sachsen,14,20,1,0,true,https://chemnitz2025.de/images/mathe1.jpg,https://chemnitz2025.de/images/mathe2.jpg,false
12,Landeswettbewerb Mathematik Bayern 2025,Mathematik-Wettbewerb für Schüler*innen bis Klasse 10.,"Ein Wettbewerb, der mathematische Fähigkeiten fördert und Talente in Bayern hervorhebt.",Urkunden & Sachpreise,Bayern,Mathematik,https://landeswettbewerb-mathematik.de/,Landeswettbewerb Mathematik Bayern,2025-09-01,2025-12-01,Bayern,12,16,1,0,true,https://landeswettbewerb-mathematik.de/images/landeswettbewerb1.jpg,https://landeswettbewerb-mathematik.de/images/landeswettbewerb2.jpg,false
13,Mathematik-Olympiade Bayern 2025,Regionaler Wettbewerb für Schüler*innen in Bayern.,Die Mathematik-Olympiade fördert mathematische Talente in verschiedenen Altersgruppen.,Medaille & regionale Anerkennung,Bayern,Mathematik,https://mo-by.de/olympiade/termine/,MOBy e.V.,2025-09-16,2025-11-12,Bayern,10,18,1,0,true,https://mo-by.de/images/moby1.jpg,https://mo-by.de/images/moby2.jpg,false
14,Känguru-Wettbewerb Saarland 2025,Regionaler Wettbewerb im Saarland.,"Knifflige Matheaufgaben für Schüler*innen, um den Spaß an Mathematik zu fördern.",Zertifikate & kleine Preise,Saarland,Mathematik,https://www.mathe-kaenguru.de/,Känguru Saarland,2025-03-01,2025-03-20,Saarland,6,18,1,0,true,https://www.mathe-kaenguru.de/images/kaenguru3.jpg,https://www.mathe-kaenguru.de/images/kaenguru4.jpg,false
15,Mathe im Advent NRW 2025,Mathematik-Adventskalender für Schüler*innen.,Jeden Tag eine spannende mathematische Aufgabe während der Adventszeit.,Sachpreise & Zertifikate,Nordrhein-Westfalen,Mathematik,https://www.mathematik.de/wettbewerbe,Mathematik NRW,2025-12-01,2025-12-24,Nordrhein-Westfalen,6,99,1,0,false,https://www.mathematik.de/images/advent3.jpg,https://www.mathematik.de/images/advent4.jpg,false
16,Mathe ohne Grenzen Baden-Württemberg 2025,Team-Wettbewerb für Schulklassen.,"Ein Wettbewerb, bei dem Schulklassen gemeinsam mathematische Probleme lösen.",Trophäen & Urkunden,Baden-Württemberg,Mathematik,https://www.mathematik-ohne-grenzen.de/,Mathe ohne Grenzen BW,2025-01-15,2025-03-15,Baden-Württemberg,10,18,30,0,true,https://www.mathematik-ohne-grenzen.de/images/mathe3.jpg,https://www.mathematik-ohne-grenzen.de/images/mathe4.jpg,false
17,Norddeutscher Mathematik-Wettbewerb 2025,Mathe-Wettbewerb für Schulen im Norden Deutschlands.,Fördert mathematisches Denken und Problemlösungsfähigkeiten bei Schüler*innen.,Sachpreise & Anerkennung,Norddeutschland,Mathematik,https://www.mathematik-nord.de/,Mathematik Nord e.V.,2025-02-01,2025-04-01,Bundesweit,12,18,1,0,true,https://www.mathematik-nord.de/images/nord1.jpg,https://www.mathematik-nord.de/images/nord2.jpg,false
18,Mathematik-Wettbewerb Hessen 2025,Regionaler Mathematik-Wettbewerb für Schüler*innen.,"Ein Wettbewerb, der Schüler*innen in Hessen mathematisch fördert und fordert.",Zertifikate & kleine Preise,Hessen,Mathematik,https://www.mathematik-hessen.de/,Mathematik Hessen e.V.,2025-03-01,2025-05-01,Hessen,8,16,1,0,true,https://www.mathematik-hessen.de/images/hessen1.jpg,https://www.mathematik-hessen.de/images/hessen2.jpg,false
19,Ostdeutscher Mathematik-Wettbewerb 2025,Mathe-Wettbewerb für Schüler*innen in Ostdeutschland.,Fördert mathematische Talente in ostdeutschen Bundesländern.,Urkunden & Anerkennung,Ostdeutschland,Mathematik,https://www.mathematik-ost.de/,Mathematik Ost e.V.,2025-02-01,2025-05-01,Bundesweit,10,18,1,0,true,https://www.mathematik-ost.de/images/ost1.jpg,https://www.mathematik-ost.de/images/ost2.jpg,false
20,Mathematik-Challenge Rheinland-Pfalz 2025,Regionaler Mathematik-Wettbewerb.,"Ein Wettbewerb, der mathematisches Denken und Problemlösen bei Schüler*innen fördert.",Sachpreise & Zertifikate,Rheinland-Pfalz,Mathematik,https://www.mathematik-rlp.de/,Mathematik RLP e.V.,2025-01-15,2025-03-15,Rheinland-Pfalz,8,18,1,0,true,https://www.mathematik-rlp.de/images/rlp1.jpg,https://www.mathematik-rlp.de/images/rlp2.jpg,false
21,Physik-Marathon 2025,Ein Wettbewerb über 20 Wochen.,"Teilnehmende lösen wöchentlich anspruchsvolle physikalische Aufgaben, die Durchhaltevermögen erfordern.",Sachpreise,Online,Physik,https://physikmarathon.de/,Physik Marathon Team,2025-05-01,2025-10-31,keine,16,99,1,0,false,https://physikmarathon.de/images/marathon1.jpg,https://physikmarathon.de/images/marathon2.jpg,false
22,Exciting Physics 2025,"Physik-Wettbewerb während der \""Highlights der Physik\"".",Lösungen zu physikalischen Aufgaben werden einer Jury in Jena vorgestellt.,Sachpreise & Auszeichnungen,"Jena, Thüringen",Physik,https://exciting-physics.info/,Highlights der Physik,2025-06-01,2025-09-19,Thüringen,12,18,1,0,true,https://exciting-physics.info/images/physics1.jpg,https://exciting-physics.info/images/physics2.jpg,false
23,55. Internationale PhysikOlympiade 2025,Internationaler Wettbewerb in Frankreich.,Die besten Physiktalente der Welt treten in Paris gegeneinander an.,Medaille & internationale Anerkennung,"Paris, Frankreich",Physik,https://www.scienceolympiaden.de/ipho/internationaler-wettbewerb,IPhO 2025,2025-01-01,2025-07-15,keine,16,20,1,0,true,https://www.scienceolympiaden.de/images/ipho2025.jpg,https://www.scienceolympiaden.de/images/ipho2025b.jpg,false
24,Jugend forscht - Physik 2025,Physik-Wettbewerb für Jugendliche.,Der deutsche Nachwuchswettbewerb fördert Forschung und Kreativität im Bereich Physik.,Preisgelder & Forschungspreise,Deutschlandweit,Physik,https://www.jugend-forscht.de/,Stiftung Jugend forscht,2025-02-01,2025-05-15,keine,12,21,1,0,true,https://www.jugend-forscht.de/images/jugend1.jpg,https://www.jugend-forscht.de/images/jugend2.jpg,false
25,PhysikOlympiade Deutschland 2025,Nationaler Auswahlwettbewerb zur Internationalen PhysikOlympiade.,Die PhysikOlympiade bietet spannende Aufgaben für physikbegeisterte Schüler*innen und führt zur Teilnahme an der internationalen Runde.,Urkunden & Preise,Deutschlandweit,Physik,https://www.scienceolympiaden.de/ipho,ScienceOlympiaden,2025-01-01,2025-04-30,keine,14,20,1,0,true,https://www.scienceolympiaden.de/images/ipho1.jpg,https://www.scienceolympiaden.de/images/ipho2.jpg,false
26,Internationale BiologieOlympiade (IBO) 2025,Nationaler Auswahlwettbewerb zur Internationalen BiologieOlympiade.,Die BiologieOlympiade bietet Aufgaben für biologiebegeisterte Schüler*innen und führt zur Teilnahme an der internationalen Runde.,Urkunden & Preise,Deutschlandweit,Biologie,https://www.scienceolympiaden.de/ibo,ScienceOlympiaden,2025-01-01,2025-09-30,keine,14,20,1,0,true,https://www.scienceolympiaden.de/images/ibo1.jpg,https://www.scienceolympiaden.de/images/ibo2.jpg,false
27,Jugend forscht - Biologie 2025,Biologie-Wettbewerb für Jugendliche.,"Ein deutscher Nachwuchswettbewerb, der Forschung und Kreativität im Bereich Biologie fördert.",Preisgelder & Forschungspreise,Deutschlandweit,Biologie,https://www.jugend-forscht.de/,Stiftung Jugend forscht,2025-02-01,2025-05-15,keine,12,21,1,0,true,https://www.jugend-forscht.de/images/jugend1.jpg,https://www.jugend-forscht.de/images/jugend2.jpg,false
28,VBIO-Wettbewerb 2025,Förderung von Biologie-Talenten.,"Ein Wettbewerb mit Buchpreisen, Praktikumsplätzen und Schnuppermitgliedschaft im VBIO.",Buchpreise & Praktika,Deutschlandweit,Biologie,https://www.vbio.de/schule/unterrichtsressourcen/wettbewerbe/,VBIO,2025-03-01,2025-06-30,keine,12,18,1,0,true,https://www.vbio.de/images/vbio1.jpg,https://www.vbio.de/images/vbio2.jpg,false
29,FLOW-Biologie-Wettbewerb 2025,Individueller Wettbewerb für Biologie.,Teilnehmende entwickeln einzigartige Projekte oder Lösungen in der Biologie.,Sachpreise & Urkunden,Deutschlandweit,Biologie,https://www.begabungslotse.de/news/auswahlwettbewerb-zur-36-internationalen-biologieolympiade-gestartet,Begabungslotse,2025-05-01,2025-09-01,keine,14,99,1,0,false,https://www.begabungslotse.de/images/flow1.jpg,https://www.begabungslotse.de/images/flow2.jpg,false
